conteo,tupla,X,L,M,T,P,Pr
1,12|21|34,187,357,357|17,357|17,0.0002666666666666667,0.4445222222222222
1,12|21|36,187,19,19|355,19|355,0.0002666666666666667,0.4445222222222222
1,12|22|31,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,12|22|32,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,12|23|29,187,113,113|261,113|261,0.0002666666666666667,0.4445222222222222
1,12|23|38,187,113,113|261,113|261,0.0002666666666666667,0.4445222222222222
1,12|23|41,187,343,343|31,343|31,0.0002666666666666667,0.4445222222222222
1,12|24|32,187,15,15|359,15|359,0.0002666666666666667,0.4445222222222222
1,12|24|40,187,323,323|51,323|51,0.0002666666666666667,0.4445222222222222
1,12|25|27,187,357,357|17,357|17,0.0002666666666666667,0.4445222222222222
1,12|25|28,187,231,231|143,231|143,0.0002666666666666667,0.4445222222222222
1,12|25|34,187,357,357|17,357|17,0.0002666666666666667,0.4445222222222222
1,12|25|35,187,286,286|88,286|88,0.0002666666666666667,0.4445222222222222
1,12|27|29,187,193,193|181,193|181,0.0002666666666666667,0.4445222222222222
1,12|27|32,187,193,193|181,193|181,0.0002666666666666667,0.4445222222222222
2,12|27|34,124,342,342|15|17,342|15|17,0.0005333333333333334,0.44461111111111107
1,12|27|35,187,216,216|158,216|158,0.0002666666666666667,0.4445222222222222
1,12|27|40,187,342,342|32,342|32,0.0002666666666666667,0.4445222222222222
1,12|27|41,187,235,235|139,235|139,0.0002666666666666667,0.4445222222222222
1,12|28|33,187,321,321|53,321|53,0.0002666666666666667,0.4445222222222222
1,12|28|38,187,373,373|1,373|1,0.0002666666666666667,0.4445222222222222
1,12|28|43,187,321,321|53,321|53,0.0002666666666666667,0.4445222222222222
1,12|29|30,187,191,191|183,191|183,0.0002666666666666667,0.4445222222222222
2,12|29|31,124,150,150|41|183,150|41|183,0.0005333333333333334,0.44461111111111107
1,12|29|32,187,193,193|181,193|181,0.0002666666666666667,0.4445222222222222
1,12|29|33,187,53,53|321,53|321,0.0002666666666666667,0.4445222222222222
1,12|29|37,187,53,53|321,53|321,0.0002666666666666667,0.4445222222222222
1,12|29|38,187,113,113|261,113|261,0.0002666666666666667,0.4445222222222222
1,12|29|39,187,46,46|328,46|328,0.0002666666666666667,0.4445222222222222
1,12|29|41,187,46,46|328,46|328,0.0002666666666666667,0.4445222222222222
1,12|30|31,187,191,191|183,191|183,0.0002666666666666667,0.4445222222222222
1,12|31|32,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,12|31|35,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,12|32|33,187,322,322|52,322|52,0.0002666666666666667,0.4445222222222222
1,12|32|34,187,21,21|353,21|353,0.0002666666666666667,0.4445222222222222
1,12|32|43,187,21,21|353,21|353,0.0002666666666666667,0.4445222222222222
1,12|33|37,187,53,53|321,53|321,0.0002666666666666667,0.4445222222222222
