conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
7,25|32,55,42,13,42|34|14|181|90|60|15|6,42|34|14|181|90|60|15|6,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
8,33|35,49,36,13,36|19|171|13|23|26|18|107|29,36|19|171|13|23|26|18|107|29,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
7,25|31,55,42,13,65,42|65|13|18|65|101|117|21,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
8,1|23,49,63,14,63|36|18|28|21|15|133|60|68,63|36|18|28|21|15|133|60|68,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
3,10|33,110,96,14,96|186|71|89,96|186|71|89,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
2,19|38,147,161,14,161|265|16,161|265|16,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
4,35|41,88,74,14,74|188|44|55|81,74|188|44|55|81,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
2,37|41,147,133,14,133|245|64,133|245|64,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
7,4|37,55,41,14,41|53|38|25|3|158|27|97,41|53|38|25|3|158|27|97,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
7,28|43,55,41,14,65,41|93|65|92|17|16|65|53,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,3|12,73,59,14,59|62|97|105|88|31,59|62|97|105|88|31,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
8,11|23,49,63,14,63|49,63|49|33|84|49|63|11|62|28,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
1,14|21,221,207,14,207|235,207|235,0.0002257336343115124,0.6667419112114371,1.0,1.0,0.0002257336343115124
2,9|20,147,162,15,162|1|279,162|1|279,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
12,2|28,34,19,15,15,19|33|58|59|21|15|46|15|28|31|75|3|39,0.002708803611738149,0.6675696012039127,1.0,1.0,0.002708803611738149
3,37|42,110,95,15,95|61|186|100,95|61|186|100,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
7,7|13,55,40,15,40|79|67|23|29|12|65|127,40|79|67|23|29|12|65|127,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
4,21|39,88,73,15,73|23|216|7|123,73|23|216|7|123,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,18|28,63,78,15,78|91|2|8|43|86|134,78|91|2|8|43|86|134,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
5,21|23,73,58,15,58|55|61|5|173|90,58|55|61|5|173|90,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
