conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,3|26|33|38,226,441,215,441|12,441|12,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|26|34|38,226,441,215,441|12,441|12,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|27|39|41,226,239,13,239|214,239|214,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|28|29|32,226,388,162,388|65,388|65,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|30|32|38,226,129,97,129|324,129|324,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|30|32|41,226,129,97,129|324,129|324,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|30|37|39,226,265,39,265|188,265|188,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|30|38|41,226,129,97,129|324,129|324,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|31|34|43,226,246,20,246|207,246|207,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|31|35|40,226,350,124,350|103,350|103,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|32|38|41,226,129,97,129|324,129|324,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|32|40|42,226,262,36,262|191,262|191,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|33|34|38,226,441,215,441|12,441|12,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|33|34|40,226,440,214,440|13,440|13,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|34|37|43,226,44,182,44|409,44|409,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|34|42|43,226,308,82,308|145,308|145,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|12|16,226,189,37,189|264,189|264,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|20|25,226,237,11,237|216,237|216,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|20|32,226,435,209,435|18,435|18,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|20|37,226,237,11,237|216,237|216,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|22|40,226,250,24,250|203,250|203,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|22|41,226,250,24,250|203,250|203,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|25|37,226,237,11,237|216,237|216,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|31|34,226,246,20,246|207,246|207,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|31|43,226,246,20,246|207,246|207,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|34|43,226,246,20,246|207,246|207,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|40|41,226,250,24,250|203,250|203,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|5|21,226,65,161,65|388,65|388,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|5|29,226,150,76,150|303,150|303,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|5|7,226,65,161,65|388,65|388,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|7|21,226,65,161,65|388,65|388,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|9|20,226,435,209,435|18,435|18,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|4|9|32,226,435,209,435|18,435|18,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|5|11|25,226,92,134,92|361,92|361,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
